,Instance,Solution
11766,"[0, 9, 0, 15, 0, 17, 19, 0, 2, 0, 9, 0, 2, 16, 0, 1, 6, 0, 7, 9]","[16, 17, 19, 20]"
11767,"[0, 0, 0, 0, 7, 0, 0, 13, 2, 14, 0, 0, 20, 10, 4, 4, 6, 4, 0, 9]","[5, 10, 17, 18, 20]"
11768,"[16, 13, 0, 18, 7, 2, 3, 13, 11, 0, 0, 0, 0, 10, 0, 14, 0, 4, 2, 0]","[4, 7, 8, 14, 19]"
11769,"[0, 13, 7, 14, 0, 2, 5, 0, 11, 0, 0, 18, 8, 4, 0, 0, 6, 16, 0, 11]","[7, 12, 13, 14, 17, 20]"
11770,"[5, 6, 7, 14, 1, 2, 3, 13, 0, 0, 0, 15, 2, 10, 4, 4, 0, 0, 0, 9]","[5, 6, 7, 8, 12, 14]"
11771,"[0, 0, 0, 0, 0, 2, 19, 13, 13, 0, 0, 0, 2, 10, 12, 4, 6, 0, 2, 2]","[8, 14, 15, 17, 19]"
11772,"[16, 0, 7, 16, 0, 17, 0, 13, 13, 0, 9, 15, 0, 4, 0, 0, 6, 0, 2, 0]","[8, 11, 12, 14, 17, 19]"
11773,"[0, 0, 0, 0, 7, 2, 19, 13, 13, 14, 20, 18, 0, 10, 4, 18, 6, 16, 2, 11]","[8, 10, 11, 12, 15, 17, 19]"
11774,"[0, 13, 0, 14, 7, 17, 19, 0, 20, 0, 0, 18, 9, 10, 4, 4, 6, 0, 2, 2]","[7, 12, 15, 17, 20]"
11775,"[0, 19, 7, 15, 0, 17, 19, 0, 11, 0, 0, 0, 20, 0, 4, 0, 0, 0, 7, 11]","[6, 15, 19, 20]"
11776,"[16, 9, 0, 16, 0, 0, 0, 13, 11, 14, 0, 18, 9, 16, 4, 15, 0, 0, 7, 13]","[10, 12, 15, 19, 20]"
11777,"[5, 20, 7, 0, 7, 2, 0, 13, 20, 14, 0, 15, 2, 16, 0, 15, 0, 12, 0, 0]","[1, 3, 6, 8, 16, 18]"
11778,"[0, 9, 11, 14, 1, 0, 3, 0, 11, 0, 3, 18, 8, 0, 12, 0, 6, 0, 2, 13]","[4, 5, 7, 9, 13, 15, 17]"
11779,"[16, 0, 0, 14, 1, 2, 3, 13, 13, 14, 0, 0, 20, 0, 16, 0, 6, 4, 0, 0]","[5, 7, 10, 13, 17, 18]"
11780,"[16, 19, 7, 0, 7, 2, 0, 0, 20, 14, 9, 15, 0, 0, 12, 1, 6, 0, 0, 13]","[1, 5, 10, 12, 17, 20]"
11781,"[0, 20, 11, 16, 1, 17, 3, 13, 2, 0, 0, 0, 2, 0, 16, 0, 6, 0, 0, 0]","[5, 7, 13, 15, 17]"
11782,"[0, 19, 7, 14, 0, 17, 3, 0, 13, 14, 20, 18, 8, 0, 16, 14, 6, 16, 0, 0]","[2, 3, 6, 10, 12, 13, 15]"
11783,"[0, 6, 0, 0, 1, 0, 5, 13, 13, 14, 0, 18, 8, 0, 0, 15, 6, 0, 7, 13]","[10, 12, 17, 19, 20]"
11784,"[5, 20, 11, 16, 1, 0, 3, 0, 0, 14, 9, 18, 0, 10, 0, 15, 6, 4, 7, 0]","[1, 11, 14, 16, 17, 19]"
11785,"[16, 6, 0, 18, 0, 2, 0, 13, 0, 0, 3, 15, 2, 4, 16, 0, 6, 4, 0, 2]","[11, 12, 17, 18, 20]"
11786,"[5, 19, 0, 16, 7, 0, 0, 0, 0, 0, 0, 18, 2, 0, 0, 4, 0, 12, 7, 9]","[1, 18, 19, 20]"
11787,"[16, 20, 7, 14, 0, 17, 3, 13, 20, 14, 9, 15, 20, 4, 0, 0, 6, 16, 0, 2]","[3, 8, 10, 11, 12, 17, 18]"
11788,"[0, 13, 11, 18, 0, 17, 0, 0, 13, 14, 3, 18, 0, 16, 16, 0, 6, 0, 0, 9]","[9, 10, 11, 12, 15, 17]"
11789,"[5, 0, 7, 18, 7, 17, 3, 0, 20, 14, 0, 15, 8, 16, 0, 15, 6, 0, 7, 2]","[1, 10, 12, 13, 17, 19]"
11790,"[5, 0, 7, 0, 0, 17, 5, 0, 20, 14, 0, 18, 20, 0, 4, 15, 6, 16, 7, 11]","[1, 10, 12, 15, 17, 19, 20]"
11791,"[5, 6, 7, 0, 1, 17, 0, 13, 0, 14, 0, 15, 2, 0, 0, 1, 0, 4, 2, 0]","[1, 3, 6, 8, 10, 12, 18]"
11792,"[16, 0, 11, 15, 7, 0, 3, 13, 11, 0, 0, 18, 0, 0, 0, 0, 6, 4, 7, 9]","[1, 12, 17, 19, 20]"
11793,"[16, 0, 7, 15, 0, 0, 0, 13, 11, 0, 3, 18, 9, 16, 0, 0, 0, 0, 2, 9]","[8, 11, 12, 14, 19]"
11794,"[5, 0, 0, 16, 0, 17, 0, 0, 0, 14, 0, 18, 9, 0, 16, 14, 0, 4, 7, 2]","[6, 10, 12, 13, 15, 19]"
11795,"[0, 20, 0, 16, 0, 0, 0, 13, 2, 0, 0, 15, 20, 0, 4, 18, 6, 0, 7, 11]","[16, 17, 19, 20]"
11796,"[0, 0, 0, 14, 1, 17, 0, 0, 2, 14, 0, 15, 8, 16, 12, 14, 6, 12, 0, 9]","[5, 12, 14, 17, 20]"
11797,"[0, 0, 0, 0, 1, 0, 3, 0, 0, 14, 9, 0, 0, 0, 16, 18, 6, 0, 7, 13]","[5, 7, 10, 15, 17, 20]"
11798,"[0, 9, 0, 0, 0, 17, 3, 13, 20, 14, 9, 15, 8, 0, 4, 0, 6, 0, 2, 0]","[8, 10, 11, 15, 17, 19]"
11799,"[16, 0, 7, 18, 1, 0, 5, 13, 0, 14, 0, 15, 20, 0, 0, 0, 6, 0, 2, 0]","[7, 8, 10, 12, 17, 19]"
11800,"[5, 0, 11, 18, 0, 2, 0, 0, 13, 14, 0, 18, 0, 0, 0, 0, 0, 0, 7, 2]","[1, 9, 10, 12, 19]"
11801,"[5, 9, 0, 0, 0, 0, 0, 13, 20, 0, 3, 0, 20, 4, 0, 18, 6, 12, 7, 13]","[1, 11, 17, 18, 19, 20]"
11802,"[16, 19, 0, 0, 0, 0, 5, 13, 13, 0, 20, 18, 0, 0, 0, 0, 0, 16, 2, 0]","[7, 8, 11, 18, 19]"
11803,"[0, 9, 7, 0, 7, 17, 0, 13, 2, 14, 20, 0, 0, 4, 0, 0, 6, 0, 0, 2]","[5, 8, 11, 14, 17]"
11804,"[16, 0, 0, 0, 7, 0, 19, 13, 0, 0, 0, 15, 8, 0, 0, 0, 0, 0, 0, 11]","[1, 7, 12, 13, 20]"
11805,"[0, 6, 0, 16, 0, 0, 0, 13, 0, 14, 0, 0, 20, 16, 16, 0, 0, 0, 2, 0]","[8, 10, 15, 19]"
11806,"[16, 0, 11, 15, 0, 0, 0, 13, 11, 0, 3, 0, 20, 0, 12, 14, 0, 0, 0, 9]","[8, 11, 15, 16]"
11807,"[16, 19, 11, 18, 0, 17, 19, 13, 0, 14, 3, 15, 0, 4, 0, 0, 0, 0, 0, 9]","[1, 3, 6, 7, 8, 10, 12]"
11808,"[5, 20, 11, 14, 1, 17, 5, 13, 13, 14, 20, 18, 0, 10, 0, 0, 0, 0, 7, 9]","[1, 6, 8, 11, 12, 14, 19]"
11809,"[16, 13, 7, 14, 0, 2, 5, 13, 0, 14, 3, 0, 0, 0, 0, 14, 0, 0, 0, 11]","[1, 6, 8, 10, 11]"
11810,"[0, 13, 7, 0, 7, 0, 19, 13, 2, 0, 0, 15, 2, 10, 0, 4, 0, 4, 7, 2]","[8, 12, 18, 19]"
11811,"[5, 0, 7, 0, 7, 2, 0, 0, 2, 0, 9, 0, 9, 16, 4, 0, 0, 12, 0, 13]","[1, 3, 6, 11, 18]"
11812,"[0, 0, 7, 0, 1, 0, 19, 0, 2, 14, 0, 15, 2, 0, 0, 15, 0, 16, 0, 9]","[5, 7, 10, 12, 18, 20]"
11813,"[0, 0, 7, 16, 1, 0, 3, 13, 13, 14, 0, 18, 2, 4, 12, 15, 0, 0, 0, 2]","[5, 7, 12, 14, 20]"
11814,"[5, 0, 0, 0, 0, 17, 3, 13, 0, 14, 20, 15, 0, 10, 0, 0, 6, 0, 2, 0]","[1, 8, 11, 12, 14, 17, 19]"
11815,"[0, 0, 0, 15, 0, 17, 0, 13, 13, 14, 0, 0, 0, 0, 4, 15, 0, 16, 0, 9]","[6, 10, 18, 20]"
11816,"[16, 0, 11, 14, 0, 2, 5, 13, 20, 0, 0, 0, 0, 4, 0, 0, 6, 16, 7, 11]","[3, 7, 8, 17, 18]"
11817,"[0, 0, 7, 14, 0, 2, 0, 0, 13, 0, 3, 15, 0, 10, 0, 0, 0, 0, 2, 2]","[11, 12, 14, 20]"
11818,"[5, 0, 7, 16, 0, 17, 0, 13, 11, 0, 20, 18, 0, 10, 0, 18, 0, 0, 2, 0]","[1, 3, 6, 8, 11, 14, 16]"
11819,"[0, 6, 11, 0, 0, 17, 19, 13, 2, 14, 0, 0, 0, 4, 0, 1, 6, 16, 0, 2]","[3, 7, 8, 10, 17, 18]"
11820,"[0, 19, 0, 0, 7, 0, 0, 13, 20, 0, 0, 0, 8, 16, 16, 15, 6, 0, 2, 0]","[8, 16, 17, 19]"
11821,"[16, 19, 7, 16, 7, 2, 5, 13, 2, 14, 0, 18, 0, 0, 4, 14, 6, 12, 0, 13]","[7, 10, 12, 15, 17, 20]"
11822,"[0, 13, 0, 14, 0, 17, 0, 13, 11, 0, 9, 0, 9, 4, 0, 0, 6, 12, 0, 0]","[4, 8, 11, 17, 18]"
11823,"[0, 0, 0, 14, 1, 2, 0, 13, 13, 14, 0, 18, 0, 4, 12, 0, 6, 0, 2, 13]","[5, 8, 12, 14, 17, 19]"
11824,"[16, 0, 0, 0, 7, 2, 19, 13, 0, 14, 9, 18, 0, 10, 0, 0, 0, 12, 0, 0]","[1, 6, 7, 8, 10, 11, 12]"
11825,"[16, 0, 11, 0, 7, 17, 0, 0, 13, 0, 9, 15, 0, 16, 16, 4, 0, 0, 7, 11]","[6, 12, 14, 19, 20]"
11826,"[0, 0, 11, 16, 1, 0, 19, 13, 0, 0, 9, 18, 0, 4, 12, 4, 6, 0, 2, 0]","[5, 8, 11, 12, 14, 17, 19]"
11827,"[16, 9, 11, 0, 0, 17, 0, 13, 0, 14, 20, 0, 9, 16, 0, 1, 0, 4, 2, 13]","[8, 10, 11, 18, 19]"
11828,"[0, 0, 11, 14, 0, 0, 19, 13, 0, 14, 0, 15, 0, 16, 0, 0, 0, 0, 0, 0]","[3, 7, 8, 12, 14]"
11829,"[0, 0, 7, 14, 0, 0, 3, 13, 0, 14, 0, 15, 2, 0, 0, 4, 6, 12, 2, 0]","[7, 8, 10, 17, 18, 19]"
11830,"[5, 20, 0, 16, 7, 2, 0, 13, 20, 14, 9, 15, 20, 4, 16, 0, 0, 16, 2, 2]","[5, 6, 8, 10, 11, 12, 18]"
11831,"[5, 0, 11, 0, 7, 0, 3, 13, 0, 14, 20, 0, 20, 4, 12, 15, 6, 0, 7, 2]","[1, 8, 10, 11, 15, 17, 19]"
11832,"[0, 0, 7, 15, 1, 17, 0, 13, 11, 14, 9, 18, 2, 0, 0, 1, 6, 4, 2, 11]","[5, 8, 10, 11, 17, 18, 19]"
11833,"[16, 0, 7, 18, 0, 0, 0, 0, 20, 14, 3, 15, 8, 16, 0, 0, 6, 4, 7, 2]","[10, 11, 12, 13, 17, 18, 19]"
11834,"[16, 0, 7, 16, 1, 0, 0, 13, 0, 0, 9, 0, 9, 0, 12, 1, 6, 0, 7, 0]","[8, 11, 15, 16, 17, 19]"
11835,"[0, 19, 11, 16, 0, 0, 5, 13, 0, 0, 3, 18, 2, 4, 12, 4, 6, 0, 7, 0]","[8, 11, 12, 14, 17, 19]"
11836,"[16, 20, 0, 0, 7, 0, 5, 13, 11, 14, 3, 0, 0, 0, 0, 0, 6, 12, 2, 2]","[8, 10, 11, 17, 18, 19]"
11837,"[16, 0, 7, 0, 1, 0, 19, 0, 20, 0, 3, 18, 0, 16, 0, 18, 0, 0, 2, 0]","[5, 11, 12, 14, 19]"
11838,"[16, 20, 0, 14, 1, 2, 0, 0, 13, 14, 20, 15, 0, 10, 0, 4, 0, 0, 0, 11]","[5, 6, 11, 12, 14]"
11839,"[0, 13, 7, 0, 0, 2, 3, 0, 2, 14, 0, 18, 8, 0, 12, 14, 6, 0, 2, 2]","[7, 15, 16, 17, 20]"
11840,"[5, 19, 0, 0, 1, 17, 19, 0, 2, 14, 0, 0, 2, 0, 0, 14, 6, 0, 7, 11]","[5, 7, 10, 17, 20]"
11841,"[0, 20, 11, 16, 7, 17, 19, 0, 13, 0, 0, 18, 9, 16, 0, 14, 0, 16, 0, 0]","[3, 6, 7, 12, 13, 14]"
11842,"[16, 0, 11, 15, 7, 2, 19, 0, 2, 14, 9, 15, 0, 0, 0, 1, 6, 12, 0, 13]","[1, 7, 10, 12, 17, 20]"
11843,"[0, 0, 11, 14, 7, 17, 3, 0, 0, 0, 3, 18, 0, 4, 4, 0, 6, 12, 2, 0]","[11, 12, 15, 17, 19]"
11844,"[16, 19, 7, 16, 0, 0, 3, 0, 13, 0, 3, 15, 9, 10, 4, 0, 6, 0, 2, 0]","[11, 12, 14, 17, 19]"
11845,"[0, 9, 0, 15, 0, 0, 0, 13, 0, 14, 0, 0, 8, 10, 4, 0, 0, 4, 7, 11]","[10, 13, 18, 19, 20]"
11846,"[0, 0, 7, 14, 7, 0, 5, 13, 20, 0, 9, 15, 9, 0, 0, 0, 0, 12, 0, 11]","[4, 7, 8, 11, 18]"
11847,"[16, 13, 0, 16, 1, 2, 3, 13, 13, 0, 20, 15, 9, 0, 0, 4, 0, 16, 2, 0]","[5, 8, 11, 12, 18, 19]"
11848,"[5, 6, 11, 16, 1, 0, 19, 0, 13, 14, 3, 0, 2, 0, 12, 0, 6, 0, 2, 13]","[3, 5, 7, 10, 13, 15, 17]"
11849,"[0, 13, 11, 14, 1, 2, 3, 0, 11, 0, 3, 15, 9, 16, 0, 15, 6, 0, 7, 2]","[5, 11, 12, 14, 17, 20]"
11850,"[5, 0, 7, 18, 1, 2, 0, 0, 11, 0, 0, 18, 20, 4, 12, 0, 0, 0, 2, 0]","[1, 3, 12, 13, 14]"
11851,"[5, 19, 0, 16, 0, 0, 3, 13, 13, 14, 9, 18, 9, 0, 0, 15, 6, 12, 2, 0]","[1, 8, 11, 16, 17, 18, 19]"
11852,"[16, 0, 0, 0, 7, 17, 19, 13, 2, 0, 9, 15, 2, 10, 16, 0, 6, 16, 2, 0]","[8, 11, 12, 17, 18, 19]"
11853,"[16, 0, 0, 16, 0, 2, 0, 13, 20, 14, 0, 18, 0, 10, 12, 4, 6, 0, 2, 0]","[1, 8, 10, 12, 17, 19]"
11854,"[0, 0, 0, 0, 0, 0, 0, 13, 2, 14, 20, 0, 0, 0, 0, 14, 0, 12, 7, 0]","[8, 11, 16, 18, 19]"
11855,"[0, 19, 7, 18, 1, 17, 0, 0, 2, 0, 20, 0, 9, 0, 0, 15, 6, 12, 7, 0]","[13, 16, 17, 18, 19]"
11856,"[0, 0, 0, 0, 7, 17, 0, 13, 2, 14, 3, 18, 2, 16, 16, 0, 6, 0, 7, 0]","[8, 10, 11, 12, 15, 17, 19]"
11857,"[5, 19, 11, 0, 7, 0, 3, 0, 13, 14, 9, 15, 20, 0, 0, 0, 6, 0, 7, 11]","[1, 10, 12, 17, 19, 20]"
11858,"[5, 20, 7, 15, 0, 2, 3, 13, 0, 0, 0, 0, 0, 10, 4, 0, 0, 16, 0, 0]","[1, 3, 4, 6, 8, 14]"
11859,"[0, 0, 11, 0, 0, 17, 19, 13, 0, 14, 0, 0, 2, 16, 4, 0, 0, 4, 7, 13]","[3, 6, 7, 8, 10, 18]"
11860,"[0, 0, 7, 0, 1, 0, 0, 0, 13, 14, 0, 0, 0, 16, 16, 18, 6, 4, 0, 0]","[5, 9, 10, 17, 18]"
11861,"[16, 19, 0, 0, 0, 2, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 0, 0, 9]","[1, 10, 17, 20]"
11862,"[5, 6, 0, 15, 0, 2, 0, 0, 20, 14, 9, 15, 8, 10, 12, 0, 0, 12, 7, 0]","[1, 2, 4, 13, 14, 18, 19]"
11863,"[0, 20, 7, 0, 7, 17, 5, 13, 20, 0, 3, 18, 20, 0, 12, 14, 6, 16, 2, 0]","[8, 11, 15, 16, 17, 19]"
11864,"[16, 0, 0, 18, 7, 2, 19, 13, 0, 0, 9, 15, 0, 10, 4, 14, 6, 0, 0, 13]","[7, 8, 11, 12, 14, 17]"
11865,"[0, 19, 7, 0, 1, 2, 3, 13, 0, 0, 0, 0, 9, 16, 0, 15, 6, 0, 7, 13]","[5, 7, 14, 17, 20]"
11866,"[16, 0, 11, 16, 7, 0, 5, 0, 20, 14, 3, 18, 8, 0, 16, 0, 0, 0, 2, 11]","[7, 10, 12, 13, 15, 20]"
11867,"[0, 6, 7, 18, 0, 2, 5, 0, 0, 0, 3, 15, 2, 10, 16, 14, 6, 4, 0, 13]","[11, 12, 17, 18, 20]"
11868,"[0, 19, 7, 0, 0, 17, 19, 0, 20, 0, 9, 18, 9, 10, 16, 0, 0, 4, 7, 11]","[6, 12, 15, 19, 20]"
11869,"[0, 0, 11, 16, 0, 17, 0, 0, 0, 0, 0, 15, 20, 16, 12, 0, 6, 16, 7, 11]","[12, 17, 18, 19, 20]"
11870,"[16, 19, 7, 15, 7, 0, 0, 13, 0, 0, 0, 15, 2, 10, 0, 0, 6, 12, 0, 13]","[4, 5, 14, 17, 18, 20]"
11871,"[16, 6, 11, 18, 0, 0, 0, 0, 0, 14, 3, 0, 0, 4, 16, 4, 6, 12, 7, 9]","[10, 17, 18, 19, 20]"
11872,"[0, 0, 11, 0, 0, 17, 0, 0, 20, 14, 0, 0, 0, 0, 12, 0, 6, 0, 7, 13]","[10, 15, 17, 19, 20]"
11873,"[0, 20, 11, 18, 0, 0, 5, 0, 0, 14, 20, 18, 20, 4, 12, 0, 6, 0, 0, 2]","[3, 7, 12, 13, 14, 17]"
11874,"[16, 13, 0, 18, 0, 17, 0, 13, 20, 14, 9, 0, 9, 0, 0, 0, 0, 0, 7, 13]","[1, 6, 8, 10, 11, 19]"
11875,"[16, 19, 7, 14, 0, 0, 0, 13, 0, 0, 9, 18, 0, 16, 12, 0, 0, 0, 2, 11]","[8, 11, 12, 14, 19]"
11876,"[5, 9, 7, 0, 1, 0, 0, 13, 0, 0, 0, 18, 2, 16, 12, 0, 0, 16, 0, 2]","[5, 12, 14, 20]"
11877,"[16, 0, 7, 18, 7, 17, 0, 0, 13, 0, 0, 15, 8, 10, 16, 0, 6, 0, 0, 9]","[5, 12, 14, 17, 20]"
11878,"[16, 0, 11, 0, 7, 17, 0, 13, 0, 0, 20, 0, 0, 0, 12, 15, 0, 4, 0, 11]","[5, 6, 8, 11, 18]"
11879,"[5, 20, 7, 14, 1, 2, 3, 0, 0, 14, 20, 18, 2, 0, 0, 18, 6, 12, 0, 0]","[5, 7, 10, 13, 17, 18]"
11880,"[0, 6, 7, 16, 0, 17, 3, 13, 13, 14, 9, 0, 0, 16, 4, 4, 0, 0, 7, 0]","[6, 8, 10, 11, 15, 19]"
11881,"[0, 20, 7, 0, 0, 17, 0, 13, 2, 14, 0, 15, 9, 0, 0, 15, 0, 0, 7, 0]","[6, 10, 12, 13, 19]"
11882,"[5, 6, 7, 0, 1, 0, 19, 0, 2, 0, 9, 18, 20, 0, 0, 1, 0, 0, 0, 0]","[5, 7, 12, 13]"
11883,"[5, 6, 0, 15, 1, 0, 19, 13, 0, 14, 9, 0, 8, 0, 0, 18, 0, 16, 0, 9]","[5, 7, 8, 10, 11, 18]"
11884,"[0, 0, 11, 16, 1, 0, 19, 0, 2, 14, 0, 18, 0, 4, 12, 4, 0, 0, 0, 11]","[5, 7, 12, 14, 20]"
11885,"[0, 6, 11, 18, 0, 17, 5, 13, 0, 14, 20, 15, 0, 16, 0, 14, 6, 4, 0, 0]","[7, 8, 10, 11, 12, 17, 18]"
11886,"[16, 0, 11, 0, 7, 0, 3, 0, 2, 0, 0, 0, 9, 0, 0, 4, 0, 4, 7, 0]","[13, 18, 19]"
11887,"[5, 9, 0, 14, 7, 17, 19, 13, 0, 0, 0, 15, 9, 4, 0, 4, 6, 0, 0, 0]","[7, 12, 13, 14, 17]"
11888,"[16, 13, 7, 14, 0, 2, 19, 13, 0, 14, 9, 18, 0, 0, 4, 0, 6, 12, 0, 9]","[7, 8, 10, 11, 12, 15, 17]"
11889,"[16, 20, 11, 16, 7, 0, 3, 13, 13, 14, 3, 0, 0, 4, 0, 0, 6, 0, 2, 2]","[1, 8, 10, 11, 17, 19]"
11890,"[0, 6, 7, 15, 0, 0, 19, 13, 20, 14, 3, 0, 0, 10, 0, 0, 6, 0, 0, 9]","[4, 8, 11, 14, 17]"
11891,"[5, 0, 11, 18, 1, 2, 0, 0, 2, 0, 3, 15, 20, 0, 12, 15, 0, 16, 2, 2]","[5, 11, 12, 18, 20]"
11892,"[5, 13, 0, 18, 0, 0, 3, 13, 0, 0, 0, 18, 0, 0, 4, 0, 6, 16, 0, 11]","[7, 12, 15, 17, 20]"
11893,"[0, 0, 7, 18, 7, 2, 0, 13, 13, 14, 0, 18, 9, 4, 4, 0, 6, 0, 0, 0]","[5, 10, 12, 13, 15, 17]"
11894,"[5, 9, 0, 14, 1, 0, 19, 13, 2, 0, 0, 15, 9, 16, 12, 0, 0, 4, 7, 11]","[5, 7, 12, 18, 20]"
11895,"[5, 20, 11, 18, 1, 2, 5, 0, 0, 14, 20, 0, 8, 0, 16, 18, 6, 12, 7, 0]","[3, 7, 10, 13, 17, 18]"
11896,"[16, 9, 11, 16, 7, 0, 0, 13, 13, 14, 3, 0, 20, 10, 16, 0, 0, 0, 7, 0]","[9, 10, 11, 15, 19]"
11897,"[16, 0, 11, 18, 0, 17, 0, 0, 0, 0, 9, 15, 0, 10, 0, 18, 6, 4, 0, 13]","[14, 16, 17, 20]"
11898,"[5, 0, 0, 14, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 12, 4, 6, 4, 7, 2]","[1, 4, 8, 15, 17, 19]"
11899,"[0, 13, 11, 0, 7, 17, 0, 0, 13, 14, 3, 0, 0, 10, 16, 0, 6, 12, 7, 11]","[9, 11, 14, 17, 18, 19]"
11900,"[0, 0, 0, 0, 1, 2, 3, 13, 0, 0, 0, 15, 9, 0, 12, 0, 0, 0, 7, 13]","[5, 6, 7, 8, 15]"
11901,"[5, 9, 0, 16, 0, 0, 3, 0, 20, 14, 20, 15, 9, 16, 4, 0, 6, 4, 0, 9]","[7, 10, 12, 17, 18, 20]"
11902,"[5, 0, 7, 18, 0, 2, 0, 0, 0, 14, 9, 0, 0, 0, 4, 0, 0, 0, 0, 9]","[1, 3, 6, 10, 11, 15]"
11903,"[16, 20, 11, 18, 7, 2, 0, 13, 11, 0, 0, 0, 0, 10, 0, 1, 6, 0, 0, 0]","[4, 5, 9, 14, 17]"
11904,"[5, 13, 0, 16, 1, 2, 3, 13, 13, 14, 0, 0, 0, 10, 16, 0, 0, 12, 7, 0]","[5, 6, 7, 8, 14, 18]"
11905,"[5, 9, 11, 14, 0, 2, 3, 13, 11, 14, 0, 0, 0, 0, 12, 1, 0, 0, 7, 2]","[1, 3, 6, 8, 10, 15]"
11906,"[16, 0, 7, 16, 1, 0, 0, 13, 0, 14, 0, 18, 0, 0, 0, 14, 0, 0, 0, 0]","[1, 3, 8, 10, 12]"
11907,"[16, 0, 11, 16, 0, 17, 5, 13, 2, 0, 20, 0, 20, 0, 0, 0, 6, 0, 2, 13]","[4, 7, 8, 11, 17, 19]"
11908,"[0, 19, 0, 16, 7, 0, 0, 0, 20, 14, 0, 0, 0, 16, 4, 15, 6, 0, 2, 0]","[5, 9, 10, 15, 17]"
11909,"[5, 9, 0, 0, 0, 0, 0, 13, 20, 14, 0, 15, 0, 4, 12, 4, 0, 0, 2, 2]","[1, 8, 12, 14, 19]"
11910,"[0, 0, 7, 18, 0, 17, 3, 13, 13, 0, 0, 0, 0, 0, 4, 1, 6, 0, 2, 13]","[7, 8, 16, 17, 19]"
11911,"[16, 6, 0, 14, 7, 2, 0, 13, 13, 0, 20, 18, 0, 0, 16, 1, 0, 16, 2, 9]","[5, 6, 8, 11, 12, 15]"
11912,"[0, 0, 7, 16, 7, 17, 3, 13, 11, 14, 0, 18, 0, 4, 12, 14, 6, 16, 0, 2]","[7, 15, 16, 17, 20]"
11913,"[0, 0, 0, 0, 7, 17, 0, 13, 13, 14, 0, 0, 2, 4, 16, 0, 6, 0, 0, 9]","[5, 10, 15, 17, 20]"
11914,"[16, 6, 7, 0, 0, 17, 19, 13, 0, 14, 9, 0, 8, 16, 4, 4, 0, 0, 2, 0]","[6, 7, 8, 10, 11, 15]"
11915,"[0, 13, 0, 0, 1, 2, 0, 13, 2, 14, 9, 18, 20, 16, 16, 0, 6, 12, 2, 13]","[5, 8, 10, 11, 12, 15, 17, 19]"
11916,"[0, 0, 7, 0, 1, 2, 3, 13, 11, 14, 0, 18, 9, 0, 12, 0, 6, 16, 0, 0]","[5, 7, 10, 13, 17, 18]"
11917,"[5, 19, 0, 0, 7, 2, 5, 13, 11, 14, 0, 15, 0, 4, 4, 1, 0, 12, 0, 0]","[6, 7, 8, 16, 18]"
11918,"[16, 13, 11, 14, 1, 0, 19, 0, 13, 0, 0, 18, 20, 16, 4, 4, 6, 16, 0, 0]","[3, 5, 7, 12, 13, 15, 17]"
11919,"[5, 0, 11, 16, 1, 17, 5, 0, 0, 0, 9, 15, 2, 16, 16, 0, 0, 0, 0, 0]","[6, 7, 11, 12, 14]"
11920,"[5, 20, 7, 16, 7, 0, 0, 13, 13, 14, 20, 18, 8, 4, 16, 0, 0, 0, 2, 0]","[8, 10, 11, 12, 15, 19]"
11921,"[5, 6, 0, 18, 1, 17, 19, 13, 0, 14, 9, 18, 8, 16, 16, 18, 0, 4, 0, 13]","[5, 6, 7, 8, 10, 11, 12, 15]"
11922,"[0, 20, 11, 0, 0, 2, 19, 13, 2, 14, 9, 0, 2, 0, 0, 18, 0, 4, 0, 9]","[6, 7, 8, 10, 11, 18]"
11923,"[16, 0, 7, 18, 0, 17, 0, 0, 2, 0, 20, 18, 0, 16, 12, 4, 6, 0, 0, 9]","[3, 12, 14, 17, 20]"
11924,"[5, 19, 7, 15, 0, 17, 0, 0, 0, 0, 0, 15, 0, 10, 12, 0, 0, 16, 7, 11]","[1, 6, 14, 15, 19, 20]"
11925,"[16, 0, 0, 0, 0, 17, 3, 13, 11, 14, 20, 18, 0, 16, 16, 0, 0, 16, 7, 9]","[6, 8, 10, 11, 12, 15, 19]"
11926,"[16, 13, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18, 0, 4, 0, 4, 6, 0, 7, 0]","[12, 14, 17, 19]"
11927,"[5, 13, 7, 0, 0, 17, 0, 13, 0, 0, 0, 0, 0, 0, 12, 15, 0, 12, 2, 2]","[1, 3, 6, 8, 16, 18]"
11928,"[0, 0, 7, 16, 7, 0, 19, 0, 0, 0, 0, 18, 0, 0, 0, 18, 6, 16, 7, 9]","[17, 18, 19, 20]"
11929,"[5, 20, 7, 0, 1, 17, 5, 13, 0, 14, 0, 0, 20, 4, 0, 0, 6, 16, 0, 2]","[7, 10, 17, 18, 20]"
11930,"[0, 20, 11, 0, 1, 0, 0, 0, 11, 0, 0, 0, 0, 4, 4, 0, 6, 4, 0, 13]","[5, 17, 18, 20]"
11931,"[16, 13, 11, 0, 1, 0, 0, 13, 20, 14, 3, 0, 0, 0, 12, 4, 6, 12, 7, 13]","[10, 11, 17, 18, 19, 20]"
11932,"[16, 20, 7, 0, 1, 17, 0, 0, 20, 0, 3, 0, 20, 16, 0, 14, 0, 4, 7, 0]","[6, 13, 18, 19]"
